"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 31 02:53:09 UTC 2023","Thu Aug 31 02:53:13 UTC 2023","3700","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Thu Aug 31 03:31:35 UTC 2023","Thu Aug 31 03:32:15 UTC 2023","39970","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Thu Aug 31 04:10:08 UTC 2023","Thu Aug 31 04:10:08 UTC 2023","28","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Thu Aug 31 02:20:58 UTC 2023","Thu Aug 31 02:21:30 UTC 2023","31862","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Thu Aug 31 02:19:37 UTC 2023","Thu Aug 31 02:19:48 UTC 2023","11267","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Thu Aug 31 02:34:51 UTC 2023","Thu Aug 31 02:35:12 UTC 2023","21252","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Aug 31 03:23:49 UTC 2023","Thu Aug 31 03:23:54 UTC 2023","5565","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Thu Aug 31 02:35:12 UTC 2023","Thu Aug 31 02:35:22 UTC 2023","9600","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"skipped","Thu Aug 31 02:19:49 UTC 2023","Thu Aug 31 02:19:49 UTC 2023","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Thu Aug 31 02:21:43 UTC 2023","Thu Aug 31 02:22:20 UTC 2023","37164","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Thu Aug 31 04:12:57 UTC 2023","Thu Aug 31 04:13:04 UTC 2023","6447","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Thu Aug 31 02:58:15 UTC 2023","Thu Aug 31 02:58:17 UTC 2023","2202","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Aug 31 03:38:33 UTC 2023","Thu Aug 31 03:38:36 UTC 2023","3136","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Thu Aug 31 02:20:02 UTC 2023","Thu Aug 31 02:20:46 UTC 2023","44249","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Thu Aug 31 04:03:43 UTC 2023","Thu Aug 31 04:03:48 UTC 2023","5364","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Thu Aug 31 03:21:00 UTC 2023","Thu Aug 31 03:21:21 UTC 2023","21166","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Aug 31 03:38:42 UTC 2023","Thu Aug 31 03:38:46 UTC 2023","3463","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Thu Aug 31 02:29:34 UTC 2023","Thu Aug 31 02:29:36 UTC 2023","1960","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Aug 31 02:52:16 UTC 2023","Thu Aug 31 02:53:07 UTC 2023","51609","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Thu Aug 31 03:16:52 UTC 2023","Thu Aug 31 03:17:03 UTC 2023","11315","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Thu Aug 31 02:29:36 UTC 2023","Thu Aug 31 02:29:53 UTC 2023","16539","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Aug 31 02:50:28 UTC 2023","Thu Aug 31 02:50:45 UTC 2023","16721","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Aug 31 02:54:09 UTC 2023","Thu Aug 31 02:54:11 UTC 2023","1837","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Thu Aug 31 04:04:02 UTC 2023","Thu Aug 31 04:04:03 UTC 2023","1281","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Thu Aug 31 02:50:45 UTC 2023","Thu Aug 31 02:50:51 UTC 2023","6041","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Aug 31 02:30:02 UTC 2023","Thu Aug 31 02:30:09 UTC 2023","7062","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Thu Aug 31 02:53:15 UTC 2023","Thu Aug 31 02:54:09 UTC 2023","53396","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Thu Aug 31 02:29:53 UTC 2023","Thu Aug 31 02:30:02 UTC 2023","8682","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
